id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
682,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Construction,Vocational,R,C,"Operation and Control, Equipment Maintenance, Operations Monitoring, Monitoring, Active Listening, Time Management",2026-03-22 08:14:19.550808+00
683,15-2031.00,Operations Research Analysts,Technology,Science,I,C,"Mathematics, Complex Problem Solving, Active Listening, Critical Thinking, Reading Comprehension, Speaking",2026-03-22 08:14:20.142088+00
684,51-9083.00,Ophthalmic Laboratory Technicians,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Quality Control Analysis, Time Management, Critical Thinking, Judgment and Decision Making",2026-03-22 08:14:20.737384+00
685,29-2057.00,Ophthalmic Medical Technicians,Healthcare,Science,R,I,"Active Listening, Speaking, Reading Comprehension, Service Orientation, Social Perceptiveness, Writing",2026-03-22 08:14:21.342715+00
686,29-2099.05,Ophthalmic Medical Technologists,Healthcare,Science,R,C,"Active Listening, Speaking, Social Perceptiveness, Service Orientation, Critical Thinking, Coordination",2026-03-22 08:14:21.941272+00
687,29-1241.00,"Ophthalmologists, Except Pediatric",Healthcare,Science,I,S,"Critical Thinking, Reading Comprehension, Active Listening, Active Learning, Complex Problem Solving, Judgment and Decision Making",2026-03-22 08:14:22.53217+00
688,29-2081.00,"Opticians, Dispensing",Healthcare,Science,C,R,"Speaking, Active Listening, Reading Comprehension, Critical Thinking, Service Orientation, Coordination",2026-03-22 08:14:23.134047+00
689,29-1041.00,Optometrists,Healthcare,Science,I,S,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing, Social Perceptiveness",2026-03-22 08:14:23.729763+00
690,29-1022.00,Oral and Maxillofacial Surgeons,Healthcare,Science,I,R,"Complex Problem Solving, Judgment and Decision Making, Critical Thinking, Reading Comprehension, Active Learning, Active Listening",2026-03-22 08:14:24.325438+00
691,43-4151.00,Order Clerks,Administration,Commerce,C,E,"Active Listening, Speaking, Reading Comprehension, Service Orientation, Critical Thinking, Judgment and Decision Making",2026-03-22 08:14:24.924622+00
692,31-1132.00,Orderlies,Healthcare,Science,R,C,"Service Orientation, Social Perceptiveness, Active Listening, Speaking",2026-03-22 08:14:25.527739+00
693,29-1023.00,Orthodontists,Healthcare,Science,I,R,"Active Listening, Complex Problem Solving, Critical Thinking, Monitoring, Speaking, Coordination",2026-03-22 08:14:26.12082+00
694,29-1242.00,"Orthopedic Surgeons, Except Pediatric",Healthcare,Science,I,R,,2026-03-22 08:14:26.815826+00
695,29-1299.02,Orthoptists,Healthcare,Science,I,R,"Active Listening, Critical Thinking, Speaking, Social Perceptiveness, Reading Comprehension, Science",2026-03-22 08:14:27.404622+00
696,29-2091.00,Orthotists and Prosthetists,Healthcare,Science,R,I,"Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing, Active Learning",2026-03-22 08:14:28.013883+00
697,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Operations Monitoring, Critical Thinking, Equipment Selection",2026-03-22 08:14:28.61748+00
698,51-9111.00,Packaging and Filling Machine Operators and Tenders,Manufacturing,Vocational,R,C,"Operations Monitoring, Monitoring, Active Listening, Coordination, Operation and Control",2026-03-22 08:14:29.212001+00
699,53-7064.00,"Packers and Packagers, Hand",Logistics & Transport,Vocational,R,C,Monitoring,2026-03-22 08:14:29.800157+00
700,47-2141.00,"Painters, Construction and Maintenance",Construction,Vocational,R,C,"Active Listening, Critical Thinking, Time Management",2026-03-22 08:14:30.39198+00
701,51-9123.00,"Painting, Coating, and Decorating Workers",Manufacturing,Vocational,R,A,,2026-03-22 08:14:30.9885+00
702,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Quality Control Analysis, Active Listening, Critical Thinking, Monitoring",2026-03-22 08:14:31.585127+00
703,47-2142.00,Paperhangers,Construction,Vocational,R,C,"Active Listening, Coordination, Speaking",2026-03-22 08:14:32.188594+00
704,23-2011.00,Paralegals and Legal Assistants,Legal Services,Commerce,C,I,"Writing, Active Listening, Reading Comprehension, Speaking, Critical Thinking, Active Learning",2026-03-22 08:14:32.789751+00
705,29-2043.00,Paramedics,Healthcare,Science,S,R,,2026-03-22 08:14:33.383829+00
